pid,label,autores,_resena,_resenado,descripcion,keyword,editores,grupo,fecha,ciudad,pais,conseguido,tipo_principal,nota,medio_impresion,intervencion_manual,portada_color,portada_especial,internas_color,papel_portada_color,compaginado,_nota_archivo
pertenecerka_lp4ug7f0wk,Pertenecer,Katrina Melguizovski,"Visualizaciones. Uso significativo, no es hace rpor hacer.",No,,pertenecerkatrinameguizovski,,,2019,Bogotá,Colombia,Comprado en feria,Ilustración,,Digital,no,duo,Repujado,duo,sí,Cuadernillo,verificar fecha
radicalvolca_lp4u0aagqj,Radical. Coloring Book,"José Guio,Malchico, Ángela Acosta",,No,,radicalvolcan,,Volcán,2009,Bogotá,Colombia,Comprado en feria,Ilustración,,Fotocopia,sí,no,No,no,sí,Cuadernillo,
rataygusanog_lp4udviz5v,Rata y Gusano 1,Gamba Zika,"Estilo crudo que me acuerda de la Etnnia, y el ilustrador que les ha hecho portadas, diseños y el video 5-27.",No,,rataygusanogambazika,,Argot Nativo,2020,Bogotá,Colombia,Comprado en feria,Cómic,,Offset,no,no,No,no,no,Cuadernillo,
rellena2frix_lp4u15hp9x,Rellena 2,"Inti,Mateo, Felipe, Zinko, Fenomena, Marco, Stink, Malcreado, Lorena",,No,,rellena2frixinu,"Andrés Frix,Inu Waters",,2008,Bogotá,Colombia,Comprado en feria,Ilustración,,Offset,no,no,No,no,no,Cuadernillo,
revistamefis_lp4sfobdfy,Revista Mefistófeles,"Proun, Mefistófeles, Nómada Urbano, Luis Fernando Medina, Inti Guevara, Toxicómano Callejero, Antígona, djlu, Inu Waters, Mauricio Sarmiento, Diana Martínez, Omar Alonso, Don Natie, Zokos Stencil, Gráfica para enfermos, 3fullk, FE y SA, Don Ramones","Registro de la contracultura bogotana, la cultura de la ilustración independiente del grafitti, que hoy en 2024 se ha decantado y tomado otras formas. Por ejemplo, los grafittis institucionales de la calle 26.",No,,revistamefistofeles,,Mefisto,2006,Bogotá,Colombia,Comprado en feria,Texto,Incluye CD-ROM Multimedia (Perdido),Offset,no,duo,No,no,no,Cuadernillo,
robotrhapsod_lp4uf753pl,Robot Rapsodies,"ChatGPT, Building a (Better) Book",Poseía experimental hecha con ChatGpt. Una mezcla de lo viejo y lo nuevo.,No,"Libro de poemas producido por estudiantes del curso Building a (Better) Book en la Univerdidad de Illinois en Urbana-Champaign. El libro fue compuesto con tipos móviles de la imprenta Skeumorph Press de la universidad, coordinado por Ryan Cordell, y los poemas fueron escritos usando ChatGPT.",robotrhapsodies,,,2023,Urbana-Champaign,Estados Unidos,Regalo de Ryan Cordell,Texto,,Tipos móviles,no,no,No,no,sí,Cuadernillo,
rockmedallo0_lp4ueydkr2,Rock Medallo. Festival Imaginario,"Alejandro Metaute, David Barbarán","Posters de festivales imageinarios de distintos géneros en medellín,",No,Serie de ilustraciones sobre un festival de música imaginario. Cada plegable corresponde a un género musical distinto e incluye ilustraciones y tipografías promocionales de bandas imaginarias. El lado opuesto del plegable tiene textos alusivos a los eventos del festival.,rockmedallo,,,2020,Medellín,Colombia,Comprado en feria Fiesta del libro en Medellín,Ilustración,Conjunto de tres plegables,Offset,no,duo,No,duo,no,Plegable,
shortieshake_lp4u0flgvi,Shortie,Diego Shaken,"Variaciones sobre un tema. Consistencia de un personaje. Juegos visuales, me acuerda un poco de periquita.",No,,shortieshaken,,,2022,Bogotá,Colombia,Comprado en feria,Cómic,,Offset,no,duo,No,duo,no,Cuadernillo,verificar fecha
styliteianma_lp4uegrbgy,Stylite,Ian Mackay,Buen ejemplo de Risografía.,No,,styliteianmackay,,,2022,San Francisco,Estados Unidos,Comprado en Printed Matter Nueva York,Cómic,,Risografía,no,tri,No,tri,no,Cuadernillo,
suenospictor_lp4ufp0k6d,Sueños pictóricos -antología-,Gusanillo,,No,,suenospictoricosgusanillo,,,2020,Soacha,Colombia,Comprado en feria,Cómic,,Fotocopia,no,duo,Risografía,no,no,Cuadernillo,
testas2malch_lp4u2onqsm,Tetas 2,"Malchico, Powerpaola",Powepaola antes de hacer el archifamoso Virus Tropical.,No,,testas2malchicopowerpaola,,,2009,Bogotá,Colombia,Comprado en feria,Ilustración,,Fotocopia,no,no,No,no,sí,Cuadernillo,
theinvisible_lp4u32w3t0,The Invisible College Catalog,"Isabella Viega, Ryan Cordell, Emerson Parker Pehl, Ocean Val Arboniés Flores, D. E., Sebastián González, Bethany Anderson, Sergio Rodríguez Gómez, Lilah Leopold, Natalia Espinel",Inspirado en el invisible college catalog.,No,,theinvisiblecollegecatalog,,,2023,Urbana,Estados Unidos,Elaboración propia,Ilustración,,Fotocopia,no,no,No,no,no,Cuadernillo,
traganubesma_lp4ug2ncv4,El traganubes,"Manuel Fernando García, Manuel García, Laureano Díaz, Urbano Prada, Expedito Forero, Bernardo Prada",,No,,traganubesmanuelfernandogarcia,,,2018,Betulia,Colombia,Comprado en feria,Ilustración,Es un fanzine interactivo,Digital,no,full,No,no,no,Cuadernillo,
tresvolcan00_lp4u1h5ilq,"Tres ""3""","José Guio, Malchico, Ángela Acosta",,No,,tresvolcan,,Volcán,2009,Bogotá,Colombia,Comprado en feria,Ilustración,,Fotocopia,sí,no,No,no,sí,Cuadernillo,
youdontgethe_lp4u1d2hm9,You don´t get there from here #58,Carrie McNinch,Libro de viajes. Experiencias de comida.,No,Diarios de viaje en japón en cómic,youdontgetherefromheremcninch,,,2019,Granada Hills,Estados Unidos,Comprado en Quimby´s Chicago,Cómic,,Fotocopia,no,no,No,no,no,Cuadernillo,
zinechungo20_lp4udjjkbt,Zine Chungo 2019,"Rafael Díaz, Carlos Alfonso, Pablo Marín, Marco Noreña, Andrés Frix Bustamante",,No,,zinechungo2019,,A la postre 101,2019,Bogotá,Colombia,Gratis en exposición SNA (Salón Nacional de Artistas) 45,Ilustración,,Offset,no,full,No,full,no,Cuadernillo,
