pid,label,autores,keyword,grupo,fecha,ciudad,pais,conseguido,tipo_principal,nota,medio_impresion,intervencion_manual,portada_color,portada_especial,internas_color,papel_portada_color,Compaginado,order,layout,collection,thumbnail,full,manifest,descripcion,nota_archivo,editores
basurama0100_lp4uep4k7a,Basurama 01,"Mecamutanterio, Buytronick, Stinkfish, Chirrete, Malchico, Ponce, Azteck, Aeon",basurama01,"",2009,México D.F.,México,Comprado en feria,Ilustración,"",Offset,no,duo,No,no,no,Cuadernillo,10,zine_item,zines,"/img/derivatives/iiif/images/basurama0100_lp4uep4k7a/full/250,/0/default.jpg","/img/derivatives/iiif/images/basurama0100_lp4uep4k7a/full/1140,/0/default.jpg",/img/derivatives/iiif/basurama0100_lp4uep4k7a/manifest.json,"","",""
bazuca000000_lp4u1mbbqa,Bazuca,"Mike Diana, Piñata, Edwin Sandoval, Lisa Czech, Mistress Rat, Gabriela Fraga, Tourlas G, Hurrican Ivan, Santi Seta, Cameron Forsley, Coyote, David Galliquio, Señor Berumen, Onsmith Jeremy, Eden D, Simone Chiorlerio, Suki Sánchez, Detrito, Manuel Hernández, Desperfecto, Taxaz, Mañe, Dr.Blugie, Vinker, Alpz, Toxo, Abby, Ana Mardoquea, Jim Pluk, Apestosa, Pagannini, Meza, Danitos",bazuca,"",2017,Bucaramanga,Colombia,Comprado en feria,Cómic,"",Fotocopia,no,tri,No,no,no,Cuadernillo,11,zine_item,zines,"/img/derivatives/iiif/images/bazuca000000_lp4u1mbbqa/full/250,/0/default.jpg","/img/derivatives/iiif/images/bazuca000000_lp4u1mbbqa/full/1140,/0/default.jpg",/img/derivatives/iiif/bazuca000000_lp4u1mbbqa/manifest.json,"Compilación de varios autores colombianos e internacionales, cómic estilo cutre-chiroso.","",""
blackpeoples_lp4u38orvq,The Black People's Prison Survival Guide,Abdullah,blackpeoplesprisonsurvivalguideabdullah,"",1998,Baltimore,Estados Unidos,Gratis en el IMC (Independent Media Center) de Urbana,Texto,"",Fotocopia,no,no,No,no,no,Cuadernillo,12,zine_item,zines,"/img/derivatives/iiif/images/blackpeoples_lp4u38orvq/full/250,/0/default.jpg","/img/derivatives/iiif/images/blackpeoples_lp4u38orvq/full/1140,/0/default.jpg",/img/derivatives/iiif/blackpeoples_lp4u38orvq/manifest.json,"","",""
borderodrigo_lp4u3co3dp,Borde,Rodrigo la Hoz,borderodrigolahoz,"",2009,Lima,Perú,Comprado en una tienda en Lima,Cómic,"",Fotocopia,no,no,No,no,no,Cuadernillo,13,zine_item,zines,"/img/derivatives/iiif/images/borderodrigo_lp4u3co3dp/full/250,/0/default.jpg","/img/derivatives/iiif/images/borderodrigo_lp4u3co3dp/full/1140,/0/default.jpg",/img/derivatives/iiif/borderodrigo_lp4u3co3dp/manifest.json,"","",""
canondaeagua_lp4udayf5m,Canon de Aguacate,Alejandra Arboleda Tilano,canondaeaguacatealejandraarboledatilano,"",2018,Medellín,Colombia,Comprado en feria,Cómic,Tiene algunas páginas con papel periódico (haciendo referencia a la maduración del aguacate) y tipografía manual con esténcil,Risografía,sí,tri,No,tetra,no,Cuadernillo,14,zine_item,zines,"/img/derivatives/iiif/images/canondaeagua_lp4udayf5m/full/250,/0/default.jpg","/img/derivatives/iiif/images/canondaeagua_lp4udayf5m/full/1140,/0/default.jpg",/img/derivatives/iiif/canondaeagua_lp4udayf5m/manifest.json,"","",""
cripsgusanil_lp4ufsse7a,Crips,Gusanillo,cripsgusanillo,"",2019,Soacha,Colombia,Comprado en feria,Cómic,"",Fotocopia,no,full,Offset,no,no,Cuadernillo,15,zine_item,zines,"/img/derivatives/iiif/images/cripsgusanil_lp4ufsse7a/full/250,/0/default.jpg","/img/derivatives/iiif/images/cripsgusanil_lp4ufsse7a/full/1140,/0/default.jpg",/img/derivatives/iiif/cripsgusanil_lp4ufsse7a/manifest.json,"","",""
dondalducklo_lp4u261q2p,Donald Duck Lookalikes,Dirk Verschure,dondalducklookalikesverschure,"",2017,Berlín,Alemania,Comprado en feria en Berlín,Ilustración,"",Digital,no,no,Serigrafía,no,sí,Cuadernillo,16,zine_item,zines,"/img/derivatives/iiif/images/dondalducklo_lp4u261q2p/full/250,/0/default.jpg","/img/derivatives/iiif/images/dondalducklo_lp4u261q2p/full/1140,/0/default.jpg",/img/derivatives/iiif/dondalducklo_lp4u261q2p/manifest.json,"",verificar fecha,""
elefantesyji_lp4ufc0677,Elefantes y Jirafas,"Juan Duarte, María Vanegas, Pavel Molano, Hugo Quintero, Verónica Cháves, Sergio Rodríguez Gómez, Andrea Gaitán",elefantesyjirafas4mesas,4mesas,2023,Bogotá,Colombia,Elaboración propia,Cómic,"",Offset,no,duo,No,duo,no,Cuadernillo,17,zine_item,zines,"/img/derivatives/iiif/images/elefantesyji_lp4ufc0677/full/250,/0/default.jpg","/img/derivatives/iiif/images/elefantesyji_lp4ufc0677/full/1140,/0/default.jpg",/img/derivatives/iiif/elefantesyji_lp4ufc0677/manifest.json,Compilación de cómics sobre historias de Colombia basado en su estética en los panfletos y revistas de inicios del siglo XX.,"",""
elfuetesna00_lp4ufwo69j,El Fuete,"Néstor Cardona Junior, Carlos Gustavo Álvarez, Neotropico, Matador, Chócolo, Mheo, Dioscorides",elfuetesna,"",2016,Pereira,Colombia,Gratis en el Salón Nacional de Artistas 44 en Pereira,Ilustración,"",Offset,no,full,No,full,na,Cuadernillo,18,zine_item,zines,"/img/derivatives/iiif/images/elfuetesna00_lp4ufwo69j/full/250,/0/default.jpg","/img/derivatives/iiif/images/elfuetesna00_lp4ufwo69j/full/1140,/0/default.jpg",/img/derivatives/iiif/elfuetesna00_lp4ufwo69j/manifest.json,"","",""
elladooscuro_lp4u2t9rlw,El lado oscuro de la luna es un Cómic,Gusanillo,elladooscurodelalunaesuncomicgusanillo,Historietas Carajo,2020,Soacha,Colombia,Comprado a autor,Cómic,"",Fotocopia,no,no,No,no,no,Cuadernillo,19,zine_item,zines,"/img/derivatives/iiif/images/elladooscuro_lp4u2t9rlw/full/250,/0/default.jpg","/img/derivatives/iiif/images/elladooscuro_lp4u2t9rlw/full/1140,/0/default.jpg",/img/derivatives/iiif/elladooscuro_lp4u2t9rlw/manifest.json,"","",""
